PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.13,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.31,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.51,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"18,8","0,6",2:17.56,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"8,9","0,3",1:49.74,ekf_localizatio
7963,aleja,20,0,369172,24976,14984,S,"6,9","0,3",1:29.05,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"5,9","0,6",1:48.95,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,9","0,3",1:10.26,twist_mux
7927,aleja,20,0,357992,45016,16424,S,"1,0","0,6",0:02.52,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.15,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.24,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.13,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.31,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
8209,aleja,20,0,871268,42520,16760,S,"13,0","0,6",2:17.69,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"12,0","0,3",1:49.86,ekf_localizatio
7963,aleja,20,0,369172,24976,14984,S,"6,0","0,3",1:29.11,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"6,0","0,3",1:10.32,twist_mux
5766,aleja,20,0,1280912,44432,16516,S,"5,0","0,6",1:49.00,rosmaster
5777,aleja,20,0,348884,19324,10216,S,"1,0","0,3",0:02.16,rosout
8280,aleja,20,0,511136,46132,17448,S,"1,0","0,6",0:04.14,rostopic
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.24,roslaunch
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.31,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.52,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"14,0","0,6",2:17.83,nodo_pid.py
5766,aleja,20,0,1280912,44432,16516,S,"8,0","0,6",1:49.08,rosmaster
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:49.94,ekf_localizatio
7963,aleja,20,0,369172,24976,14984,S,"6,0","0,3",1:29.17,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"6,0","0,3",1:10.38,twist_mux
8280,aleja,20,0,511136,46132,17448,S,"1,0","0,6",0:04.15,rostopic
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.24,roslaunch
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.31,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.52,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"19,0","0,6",2:18.02,nodo_pid.py
7967,aleja,20,0,422780,19248,10136,S,"11,0","0,3",1:10.49,twist_mux
7956,aleja,20,0,498908,22148,12672,R,"9,0","0,3",1:50.03,ekf_localizatio
7963,aleja,20,0,369172,24976,14984,S,"6,0","0,3",1:29.23,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"5,0","0,6",1:49.13,rosmaster
8182,aleja,20,0,357588,44880,16692,S,"1,0","0,6",0:02.25,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.15,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.31,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.52,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:18.13,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:50.11,ekf_localizatio
7967,aleja,20,0,422780,19248,10136,S,"6,0","0,3",1:10.55,twist_mux
7963,aleja,20,0,369172,24976,14984,S,"5,0","0,3",1:29.28,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"4,0","0,6",1:49.17,rosmaster
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.15,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.31,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.52,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"9,9","0,6",2:18.23,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"7,9","0,3",1:50.19,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"6,9","0,6",1:49.24,rosmaster
7963,aleja,20,0,369172,24976,14984,S,"6,9","0,3",1:29.35,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:10.60,twist_mux
5757,aleja,20,0,357720,44900,16824,S,"1,0","0,6",0:03.32,roscore
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.15,rostopic
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.52,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"10,0","0,6",2:18.33,nodo_pid.py
5766,aleja,20,0,1280912,44432,16516,S,"9,0","0,6",1:49.33,rosmaster
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:50.27,ekf_localizatio
7963,aleja,20,0,369172,24976,14984,S,"7,0","0,3",1:29.42,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"4,0","0,3",1:10.64,twist_mux
7927,aleja,20,0,357992,45016,16424,S,"1,0","0,6",0:02.53,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.15,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
8209,aleja,20,0,871268,42520,16760,S,"9,0","0,6",2:18.42,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"8,0","0,3",1:29.50,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:50.35,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"6,0","0,6",1:49.39,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"6,0","0,3",1:10.70,twist_mux
8280,aleja,20,0,511136,46132,17448,S,"1,0","0,6",0:04.16,rostopic
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.53,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:18.53,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"10,0","0,3",1:29.60,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:50.43,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"7,0","0,6",1:49.46,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"7,0","0,3",1:10.77,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.16,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,R,"0,0","0,6",0:02.53,roslaunch
7956,aleja,20,0,498908,22148,12672,S,"11,0","0,3",1:50.54,ekf_localizatio
8209,aleja,20,0,871268,42520,16760,S,"10,0","0,6",2:18.63,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"7,0","0,3",1:29.67,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:10.82,twist_mux
5766,aleja,20,0,1280912,44432,16516,S,"4,0","0,6",1:49.50,rosmaster
